name,cuisine,cuisine_count,cost,price_category,rating,rating_category,order_online,book_table,delivery_available,dinein_available,restaurant_type,city,area,city_population,city_area_km,tourism_flag,gdp_flag,link,image
Kubaba,"Biryani, Mandi, Arabian",3,1000.0,high,4.4,excellent,Yes,Yes,1,1,casual,kochi,edappally,"677,381",88,yes,yes,https://www.zomato.com/kochi/kubaba-edappally/info,
Kochi Kitchen - Kochi Marriott Hotel,"South Indian, Asian, North Indian, Continental, Fast Food, Beverages",6,2500.0,high,4.6,excellent,Yes,Yes,1,1,casual,kochi,edappally,"677,381",88,yes,yes,https://www.zomato.com/kochi/kochi-kitchen-kochi-marriott-hotel-edappally/info,
Fress Trees Garden Cafe,"Continental, Pizza, Beverages, Asian, Burger, Kerala",6,600.0,high,4.5,excellent,Yes,No,1,1,casual,kochi,edappally,"677,381",88,yes,yes,https://www.zomato.com/kochi/fress-trees-garden-cafe-edappally/info,
Yaacht Kitchen,"Kerala, South Indian, Continental, Oriental, Asian, Italian, Desserts, Beverages",8,1500.0,high,4.2,excellent,Yes,No,1,1,casual,kochi,edappally,"677,381",88,yes,yes,https://www.zomato.com/kochi/yaacht-kitchen-ernakulam-city/info,
Punjab Grill,"North Indian, Kebab, Biryani, Mughlai",4,1700.0,high,4.4,excellent,No,Yes,1,1,casual,kochi,edappally,"677,381",88,yes,yes,https://www.zomato.com/kochi/punjab-grill-edappally/info,
Roastown,"Asian, Italian, Burger, Pizza, Mediterranean, Grilled Chicken, Continental, British",8,2100.0,high,4.7,excellent,No,Yes,1,1,casual,kochi,edappally,"677,381",88,yes,yes,https://www.zomato.com/kochi/roastown-edappally/info,
Kyra,"Beverages, Mughlai, Desserts, Kebab, Italian, Middle Eastern, Mediterranean",7,2600.0,high,4.2,excellent,No,No,1,1,casual,kochi,edappally,"677,381",88,yes,yes,https://www.zomato.com/kochi/kyra-vennala/info,
Tony's Kitchen,Japanese,1,1200.0,high,4.1,excellent,No,No,1,1,casual,kochi,edappally,"677,381",88,yes,yes,https://www.zomato.com/kochi/tonys-kitchen-kacherippady/info,
Smoke Culture By Steve,"Salad, Fast Food",2,500.0,high,3.3,good,No,Yes,1,1,casual,kochi,edappally,"677,381",88,yes,yes,https://www.zomato.com/kochi/smoke-culture-by-steve-ernakulam-city/info,
Kubaba,"Biryani, Mandi, Arabian",3,1000.0,high,4.4,excellent,Yes,Yes,1,1,casual,kochi,edappally,"677,381",88,yes,yes,https://www.zomato.com/kochi/kubaba-edappally/info,
Kochi Kitchen - Kochi Marriott Hotel,"South Indian, Asian, North Indian, Continental, Fast Food, Beverages",6,2500.0,high,4.6,excellent,No,No,1,1,casual,kochi,edappally,"677,381",88,yes,yes,https://www.zomato.com/kochi/kochi-kitchen-kochi-marriott-hotel-edappally/info,
Fress Trees Garden Cafe,"Continental, Pizza, Beverages, Asian, Burger, Kerala",6,600.0,high,4.5,excellent,Yes,Yes,1,1,casual,kochi,edappally,"677,381",88,yes,yes,https://www.zomato.com/kochi/fress-trees-garden-cafe-edappally/info,
Yaacht Kitchen,"Kerala, South Indian, Continental, Oriental, Asian, Italian, Desserts, Beverages",8,1500.0,high,4.2,excellent,No,Yes,1,1,casual,kochi,edappally,"677,381",88,yes,yes,https://www.zomato.com/kochi/yaacht-kitchen-ernakulam-city/info,
Punjab Grill,"North Indian, Kebab, Biryani, Mughlai",4,1700.0,high,4.4,excellent,Yes,No,1,1,casual,kochi,edappally,"677,381",88,yes,yes,https://www.zomato.com/kochi/punjab-grill-edappally/info,
Roastown,"Asian, Italian, Burger, Pizza, Mediterranean, Grilled Chicken, Continental, British",8,2100.0,high,4.7,excellent,Yes,Yes,1,1,casual,kochi,edappally,"677,381",88,yes,yes,https://www.zomato.com/kochi/roastown-edappally/info,
Kyra,"Beverages, Mughlai, Desserts, Kebab, Italian, Middle Eastern, Mediterranean",7,2600.0,high,4.2,excellent,No,No,1,1,casual,kochi,edappally,"677,381",88,yes,yes,https://www.zomato.com/kochi/kyra-vennala/info,
Tony's Kitchen,Japanese,1,1200.0,high,4.1,excellent,No,No,1,1,casual,kochi,edappally,"677,381",88,yes,yes,https://www.zomato.com/kochi/tonys-kitchen-kacherippady/info,
Smoke Culture By Steve,"Salad, Fast Food",2,500.0,high,3.3,good,No,No,1,1,casual,kochi,edappally,"677,381",88,yes,yes,https://www.zomato.com/kochi/smoke-culture-by-steve-ernakulam-city/info,
Kubaba,"Biryani, Mandi, Arabian",3,1000.0,high,4.4,excellent,No,Yes,1,1,casual,kochi,edappally,"677,381",88,yes,yes,https://www.zomato.com/kochi/kubaba-edappally/info,
Kochi Kitchen - Kochi Marriott Hotel,"South Indian, Asian, North Indian, Continental, Fast Food, Beverages",6,2500.0,high,4.6,excellent,No,No,1,1,casual,kochi,edappally,"677,381",88,yes,yes,https://www.zomato.com/kochi/kochi-kitchen-kochi-marriott-hotel-edappally/info,
Fress Trees Garden Cafe,"Continental, Pizza, Beverages, Asian, Burger, Kerala",6,600.0,high,4.5,excellent,Yes,Yes,1,1,casual,kochi,edappally,"677,381",88,yes,yes,https://www.zomato.com/kochi/fress-trees-garden-cafe-edappally/info,
Yaacht Kitchen,"Kerala, South Indian, Continental, Oriental, Asian, Italian, Desserts, Beverages",8,1500.0,high,4.2,excellent,Yes,No,1,1,casual,kochi,edappally,"677,381",88,yes,yes,https://www.zomato.com/kochi/yaacht-kitchen-ernakulam-city/info,
Punjab Grill,"North Indian, Kebab, Biryani, Mughlai",4,1700.0,high,4.4,excellent,No,Yes,1,1,casual,kochi,edappally,"677,381",88,yes,yes,https://www.zomato.com/kochi/punjab-grill-edappally/info,
Roastown,"Asian, Italian, Burger, Pizza, Mediterranean, Grilled Chicken, Continental, British",8,2100.0,high,4.7,excellent,No,No,1,1,casual,kochi,edappally,"677,381",88,yes,yes,https://www.zomato.com/kochi/roastown-edappally/info,
Kyra,"Beverages, Mughlai, Desserts, Kebab, Italian, Middle Eastern, Mediterranean",7,2600.0,high,4.2,excellent,No,No,1,1,casual,kochi,edappally,"677,381",88,yes,yes,https://www.zomato.com/kochi/kyra-vennala/info,
Tony's Kitchen,Japanese,1,1200.0,high,4.1,excellent,No,No,1,1,casual,kochi,edappally,"677,381",88,yes,yes,https://www.zomato.com/kochi/tonys-kitchen-kacherippady/info,
Smoke Culture By Steve,"Salad, Fast Food",2,500.0,high,3.3,good,Yes,No,1,1,casual,kochi,edappally,"677,381",88,yes,yes,https://www.zomato.com/kochi/smoke-culture-by-steve-ernakulam-city/info,
Kubaba,"Biryani, Mandi, Arabian",3,1000.0,high,4.4,excellent,Yes,Yes,1,1,casual,kochi,edappally,"677,381",88,yes,yes,https://www.zomato.com/kochi/kubaba-edappally/info,
Kochi Kitchen - Kochi Marriott Hotel,"South Indian, Asian, North Indian, Continental, Fast Food, Beverages",6,2500.0,high,4.6,excellent,Yes,No,1,1,casual,kochi,edappally,"677,381",88,yes,yes,https://www.zomato.com/kochi/kochi-kitchen-kochi-marriott-hotel-edappally/info,
Fress Trees Garden Cafe,"Continental, Pizza, Beverages, Asian, Burger, Kerala",6,600.0,high,4.5,excellent,Yes,Yes,1,1,casual,kochi,edappally,"677,381",88,yes,yes,https://www.zomato.com/kochi/fress-trees-garden-cafe-edappally/info,
Yaacht Kitchen,"Kerala, South Indian, Continental, Oriental, Asian, Italian, Desserts, Beverages",8,1500.0,high,4.2,excellent,No,No,1,1,casual,kochi,edappally,"677,381",88,yes,yes,https://www.zomato.com/kochi/yaacht-kitchen-ernakulam-city/info,
Punjab Grill,"North Indian, Kebab, Biryani, Mughlai",4,1700.0,high,4.4,excellent,No,Yes,1,1,casual,kochi,edappally,"677,381",88,yes,yes,https://www.zomato.com/kochi/punjab-grill-edappally/info,
Roastown,"Asian, Italian, Burger, Pizza, Mediterranean, Grilled Chicken, Continental, British",8,2100.0,high,4.7,excellent,No,No,1,1,casual,kochi,edappally,"677,381",88,yes,yes,https://www.zomato.com/kochi/roastown-edappally/info,
Kyra,"Beverages, Mughlai, Desserts, Kebab, Italian, Middle Eastern, Mediterranean",7,2600.0,high,4.2,excellent,Yes,No,1,1,casual,kochi,edappally,"677,381",88,yes,yes,https://www.zomato.com/kochi/kyra-vennala/info,
Tony's Kitchen,Japanese,1,1200.0,high,4.1,excellent,No,No,1,1,casual,kochi,edappally,"677,381",88,yes,yes,https://www.zomato.com/kochi/tonys-kitchen-kacherippady/info,
Smoke Culture By Steve,"Salad, Fast Food",2,500.0,high,3.3,good,No,Yes,1,1,casual,kochi,edappally,"677,381",88,yes,yes,https://www.zomato.com/kochi/smoke-culture-by-steve-ernakulam-city/info,
Kubaba,"Biryani, Mandi, Arabian",3,1000.0,high,4.4,excellent,No,No,1,1,casual,kochi,edappally,"677,381",88,yes,yes,https://www.zomato.com/kochi/kubaba-edappally/info,
Kochi Kitchen - Kochi Marriott Hotel,"South Indian, Asian, North Indian, Continental, Fast Food, Beverages",6,2500.0,high,4.6,excellent,Yes,No,1,1,casual,kochi,edappally,"677,381",88,yes,yes,https://www.zomato.com/kochi/kochi-kitchen-kochi-marriott-hotel-edappally/info,
Fress Trees Garden Cafe,"Continental, Pizza, Beverages, Asian, Burger, Kerala",6,600.0,high,4.5,excellent,No,No,1,1,casual,kochi,edappally,"677,381",88,yes,yes,https://www.zomato.com/kochi/fress-trees-garden-cafe-edappally/info,
Yaacht Kitchen,"Kerala, South Indian, Continental, Oriental, Asian, Italian, Desserts, Beverages",8,1500.0,high,4.2,excellent,No,No,1,1,casual,kochi,edappally,"677,381",88,yes,yes,https://www.zomato.com/kochi/yaacht-kitchen-ernakulam-city/info,
Punjab Grill,"North Indian, Kebab, Biryani, Mughlai",4,1700.0,high,4.4,excellent,No,Yes,1,1,casual,kochi,edappally,"677,381",88,yes,yes,https://www.zomato.com/kochi/punjab-grill-edappally/info,
Roastown,"Asian, Italian, Burger, Pizza, Mediterranean, Grilled Chicken, Continental, British",8,2100.0,high,4.7,excellent,No,No,1,1,casual,kochi,edappally,"677,381",88,yes,yes,https://www.zomato.com/kochi/roastown-edappally/info,
Kyra,"Beverages, Mughlai, Desserts, Kebab, Italian, Middle Eastern, Mediterranean",7,2600.0,high,4.2,excellent,Yes,Yes,1,1,casual,kochi,edappally,"677,381",88,yes,yes,https://www.zomato.com/kochi/kyra-vennala/info,
Tony's Kitchen,Japanese,1,1200.0,high,4.1,excellent,Yes,No,1,1,casual,kochi,edappally,"677,381",88,yes,yes,https://www.zomato.com/kochi/tonys-kitchen-kacherippady/info,
Smoke Culture By Steve,"Salad, Fast Food",2,500.0,high,3.3,good,Yes,Yes,1,1,casual,kochi,edappally,"677,381",88,yes,yes,https://www.zomato.com/kochi/smoke-culture-by-steve-ernakulam-city/info,
Kubaba,"Biryani, Mandi, Arabian",3,1000.0,high,4.4,excellent,No,Yes,1,1,casual,kochi,edappally,"677,381",88,yes,yes,https://www.zomato.com/kochi/kubaba-edappally/info,
Kochi Kitchen - Kochi Marriott Hotel,"South Indian, Asian, North Indian, Continental, Fast Food, Beverages",6,2500.0,high,4.6,excellent,Yes,No,1,1,casual,kochi,edappally,"677,381",88,yes,yes,https://www.zomato.com/kochi/kochi-kitchen-kochi-marriott-hotel-edappally/info,
Fress Trees Garden Cafe,"Continental, Pizza, Beverages, Asian, Burger, Kerala",6,600.0,high,4.5,excellent,No,Yes,1,1,casual,kochi,edappally,"677,381",88,yes,yes,https://www.zomato.com/kochi/fress-trees-garden-cafe-edappally/info,
Yaacht Kitchen,"Kerala, South Indian, Continental, Oriental, Asian, Italian, Desserts, Beverages",8,1500.0,high,4.2,excellent,Yes,No,1,1,casual,kochi,edappally,"677,381",88,yes,yes,https://www.zomato.com/kochi/yaacht-kitchen-ernakulam-city/info,
Punjab Grill,"North Indian, Kebab, Biryani, Mughlai",4,1700.0,high,4.4,excellent,Yes,No,1,1,casual,kochi,edappally,"677,381",88,yes,yes,https://www.zomato.com/kochi/punjab-grill-edappally/info,
Roastown,"Asian, Italian, Burger, Pizza, Mediterranean, Grilled Chicken, Continental, British",8,2100.0,high,4.7,excellent,No,No,1,1,casual,kochi,edappally,"677,381",88,yes,yes,https://www.zomato.com/kochi/roastown-edappally/info,
Kyra,"Beverages, Mughlai, Desserts, Kebab, Italian, Middle Eastern, Mediterranean",7,2600.0,high,4.2,excellent,No,No,1,1,casual,kochi,edappally,"677,381",88,yes,yes,https://www.zomato.com/kochi/kyra-vennala/info,
Tony's Kitchen,Japanese,1,1200.0,high,4.1,excellent,No,No,1,1,casual,kochi,edappally,"677,381",88,yes,yes,https://www.zomato.com/kochi/tonys-kitchen-kacherippady/info,
Smoke Culture By Steve,"Salad, Fast Food",2,500.0,high,3.3,good,Yes,Yes,1,1,casual,kochi,edappally,"677,381",88,yes,yes,https://www.zomato.com/kochi/smoke-culture-by-steve-ernakulam-city/info,
Kubaba,"Biryani, Mandi, Arabian",3,1000.0,high,4.4,excellent,Yes,Yes,1,1,casual,kochi,edappally,"677,381",88,yes,yes,https://www.zomato.com/kochi/kubaba-edappally/info,
Kochi Kitchen - Kochi Marriott Hotel,"South Indian, Asian, North Indian, Continental, Fast Food, Beverages",6,2500.0,high,4.6,excellent,No,Yes,1,1,casual,kochi,edappally,"677,381",88,yes,yes,https://www.zomato.com/kochi/kochi-kitchen-kochi-marriott-hotel-edappally/info,
Fress Trees Garden Cafe,"Continental, Pizza, Beverages, Asian, Burger, Kerala",6,600.0,high,4.5,excellent,No,No,1,1,casual,kochi,edappally,"677,381",88,yes,yes,https://www.zomato.com/kochi/fress-trees-garden-cafe-edappally/info,
Yaacht Kitchen,"Kerala, South Indian, Continental, Oriental, Asian, Italian, Desserts, Beverages",8,1500.0,high,4.2,excellent,Yes,Yes,1,1,casual,kochi,edappally,"677,381",88,yes,yes,https://www.zomato.com/kochi/yaacht-kitchen-ernakulam-city/info,
Punjab Grill,"North Indian, Kebab, Biryani, Mughlai",4,1700.0,high,4.4,excellent,Yes,No,1,1,casual,kochi,edappally,"677,381",88,yes,yes,https://www.zomato.com/kochi/punjab-grill-edappally/info,
Roastown,"Asian, Italian, Burger, Pizza, Mediterranean, Grilled Chicken, Continental, British",8,2100.0,high,4.7,excellent,No,Yes,1,1,casual,kochi,edappally,"677,381",88,yes,yes,https://www.zomato.com/kochi/roastown-edappally/info,
Kyra,"Beverages, Mughlai, Desserts, Kebab, Italian, Middle Eastern, Mediterranean",7,2600.0,high,4.2,excellent,Yes,Yes,1,1,casual,kochi,edappally,"677,381",88,yes,yes,https://www.zomato.com/kochi/kyra-vennala/info,
Tony's Kitchen,Japanese,1,1200.0,high,4.1,excellent,Yes,No,1,1,casual,kochi,edappally,"677,381",88,yes,yes,https://www.zomato.com/kochi/tonys-kitchen-kacherippady/info,
Smoke Culture By Steve,"Salad, Fast Food",2,500.0,high,3.3,good,Yes,Yes,1,1,casual,kochi,edappally,"677,381",88,yes,yes,https://www.zomato.com/kochi/smoke-culture-by-steve-ernakulam-city/info,
Kubaba,"Biryani, Mandi, Arabian",3,1000.0,high,4.4,excellent,No,Yes,1,1,casual,kochi,edappally,"677,381",88,yes,yes,https://www.zomato.com/kochi/kubaba-edappally/info,
Kochi Kitchen - Kochi Marriott Hotel,"South Indian, Asian, North Indian, Continental, Fast Food, Beverages",6,2500.0,high,4.6,excellent,No,No,1,1,casual,kochi,edappally,"677,381",88,yes,yes,https://www.zomato.com/kochi/kochi-kitchen-kochi-marriott-hotel-edappally/info,
Fress Trees Garden Cafe,"Continental, Pizza, Beverages, Asian, Burger, Kerala",6,600.0,high,4.5,excellent,Yes,No,1,1,casual,kochi,edappally,"677,381",88,yes,yes,https://www.zomato.com/kochi/fress-trees-garden-cafe-edappally/info,
Yaacht Kitchen,"Kerala, South Indian, Continental, Oriental, Asian, Italian, Desserts, Beverages",8,1500.0,high,4.2,excellent,Yes,No,1,1,casual,kochi,edappally,"677,381",88,yes,yes,https://www.zomato.com/kochi/yaacht-kitchen-ernakulam-city/info,
Punjab Grill,"North Indian, Kebab, Biryani, Mughlai",4,1700.0,high,4.4,excellent,Yes,Yes,1,1,casual,kochi,edappally,"677,381",88,yes,yes,https://www.zomato.com/kochi/punjab-grill-edappally/info,
Roastown,"Asian, Italian, Burger, Pizza, Mediterranean, Grilled Chicken, Continental, British",8,2100.0,high,4.7,excellent,Yes,No,1,1,casual,kochi,edappally,"677,381",88,yes,yes,https://www.zomato.com/kochi/roastown-edappally/info,
Kyra,"Beverages, Mughlai, Desserts, Kebab, Italian, Middle Eastern, Mediterranean",7,2600.0,high,4.2,excellent,Yes,No,1,1,casual,kochi,edappally,"677,381",88,yes,yes,https://www.zomato.com/kochi/kyra-vennala/info,
Tony's Kitchen,Japanese,1,1200.0,high,4.1,excellent,No,Yes,1,1,casual,kochi,edappally,"677,381",88,yes,yes,https://www.zomato.com/kochi/tonys-kitchen-kacherippady/info,
Smoke Culture By Steve,"Salad, Fast Food",2,500.0,high,3.3,good,No,No,1,1,casual,kochi,edappally,"677,381",88,yes,yes,https://www.zomato.com/kochi/smoke-culture-by-steve-ernakulam-city/info,
Kubaba,"Biryani, Mandi, Arabian",3,1000.0,high,4.4,excellent,Yes,Yes,1,1,casual,kochi,edappally,"677,381",88,yes,yes,https://www.zomato.com/kochi/kubaba-edappally/info,
Kochi Kitchen - Kochi Marriott Hotel,"South Indian, Asian, North Indian, Continental, Fast Food, Beverages",6,2500.0,high,4.6,excellent,Yes,No,1,1,casual,kochi,edappally,"677,381",88,yes,yes,https://www.zomato.com/kochi/kochi-kitchen-kochi-marriott-hotel-edappally/info,
Fress Trees Garden Cafe,"Continental, Pizza, Beverages, Asian, Burger, Kerala",6,600.0,high,4.5,excellent,Yes,Yes,1,1,casual,kochi,edappally,"677,381",88,yes,yes,https://www.zomato.com/kochi/fress-trees-garden-cafe-edappally/info,
Yaacht Kitchen,"Kerala, South Indian, Continental, Oriental, Asian, Italian, Desserts, Beverages",8,1500.0,high,4.2,excellent,No,No,1,1,casual,kochi,edappally,"677,381",88,yes,yes,https://www.zomato.com/kochi/yaacht-kitchen-ernakulam-city/info,
Punjab Grill,"North Indian, Kebab, Biryani, Mughlai",4,1700.0,high,4.4,excellent,Yes,Yes,1,1,casual,kochi,edappally,"677,381",88,yes,yes,https://www.zomato.com/kochi/punjab-grill-edappally/info,
Roastown,"Asian, Italian, Burger, Pizza, Mediterranean, Grilled Chicken, Continental, British",8,2100.0,high,4.7,excellent,No,Yes,1,1,casual,kochi,edappally,"677,381",88,yes,yes,https://www.zomato.com/kochi/roastown-edappally/info,
Kyra,"Beverages, Mughlai, Desserts, Kebab, Italian, Middle Eastern, Mediterranean",7,2600.0,high,4.2,excellent,Yes,Yes,1,1,casual,kochi,edappally,"677,381",88,yes,yes,https://www.zomato.com/kochi/kyra-vennala/info,
Tony's Kitchen,Japanese,1,1200.0,high,4.1,excellent,No,No,1,1,casual,kochi,edappally,"677,381",88,yes,yes,https://www.zomato.com/kochi/tonys-kitchen-kacherippady/info,
Smoke Culture By Steve,"Salad, Fast Food",2,500.0,high,3.3,good,No,No,1,1,casual,kochi,edappally,"677,381",88,yes,yes,https://www.zomato.com/kochi/smoke-culture-by-steve-ernakulam-city/info,
Kubaba,"Biryani, Mandi, Arabian",3,1000.0,high,4.4,excellent,No,No,1,1,casual,kochi,edappally,"677,381",88,yes,yes,https://www.zomato.com/kochi/kubaba-edappally/info,
Kochi Kitchen - Kochi Marriott Hotel,"South Indian, Asian, North Indian, Continental, Fast Food, Beverages",6,2500.0,high,4.6,excellent,Yes,Yes,1,1,casual,kochi,edappally,"677,381",88,yes,yes,https://www.zomato.com/kochi/kochi-kitchen-kochi-marriott-hotel-edappally/info,
Fress Trees Garden Cafe,"Continental, Pizza, Beverages, Asian, Burger, Kerala",6,600.0,high,4.5,excellent,No,Yes,1,1,casual,kochi,edappally,"677,381",88,yes,yes,https://www.zomato.com/kochi/fress-trees-garden-cafe-edappally/info,
Yaacht Kitchen,"Kerala, South Indian, Continental, Oriental, Asian, Italian, Desserts, Beverages",8,1500.0,high,4.2,excellent,Yes,Yes,1,1,casual,kochi,edappally,"677,381",88,yes,yes,https://www.zomato.com/kochi/yaacht-kitchen-ernakulam-city/info,
Punjab Grill,"North Indian, Kebab, Biryani, Mughlai",4,1700.0,high,4.4,excellent,No,Yes,1,1,casual,kochi,edappally,"677,381",88,yes,yes,https://www.zomato.com/kochi/punjab-grill-edappally/info,
Roastown,"Asian, Italian, Burger, Pizza, Mediterranean, Grilled Chicken, Continental, British",8,2100.0,high,4.7,excellent,Yes,Yes,1,1,casual,kochi,edappally,"677,381",88,yes,yes,https://www.zomato.com/kochi/roastown-edappally/info,
Kyra,"Beverages, Mughlai, Desserts, Kebab, Italian, Middle Eastern, Mediterranean",7,2600.0,high,4.2,excellent,Yes,Yes,1,1,casual,kochi,edappally,"677,381",88,yes,yes,https://www.zomato.com/kochi/kyra-vennala/info,
Tony's Kitchen,Japanese,1,1200.0,high,4.1,excellent,Yes,Yes,1,1,casual,kochi,edappally,"677,381",88,yes,yes,https://www.zomato.com/kochi/tonys-kitchen-kacherippady/info,
Smoke Culture By Steve,"Salad, Fast Food",2,500.0,high,3.3,good,No,No,1,1,casual,kochi,edappally,"677,381",88,yes,yes,https://www.zomato.com/kochi/smoke-culture-by-steve-ernakulam-city/info,
Latest Recipe - Le Méridien Kochi,"Biryani, Continental, Chinese, Kerala, South Indian, North Indian, Beverages, Desserts",8,2500.0,high,4.4,excellent,Yes,No,1,1,casual,kochi,panampilly-nagar,"677,381",88,yes,yes,https://www.zomato.com/kochi/latest-recipe-le-méridien-kochi-marad/info,
Elevate Resto - Travancore Court,"North Indian, South Indian, Chinese",3,2300.0,high,4.6,excellent,No,Yes,1,1,casual,kochi,panampilly-nagar,"677,381",88,yes,yes,https://www.zomato.com/kochi/elevate-resto-travancore-court-pallimukku/info,
Yaacht Kitchen,"Kerala, South Indian, Continental, Oriental, Asian, Italian, Desserts, Beverages",8,1500.0,high,4.2,excellent,No,No,1,1,casual,kochi,panampilly-nagar,"677,381",88,yes,yes,https://www.zomato.com/kochi/yaacht-kitchen-ernakulam-city/info,
Rasanai - From The Streets Of The South,"South Indian, Desserts",2,800.0,high,4.1,excellent,No,No,1,1,casual,kochi,panampilly-nagar,"677,381",88,yes,yes,https://www.zomato.com/kochi/rasanai-from-the-streets-of-the-south-panampilly-nagar/info,
Colony Clubhouse & Grill - Grand Hyatt Kochi Bolgatty,"Continental, BBQ, Seafood",3,3200.0,high,4.6,excellent,No,Yes,1,1,casual,kochi,panampilly-nagar,"677,381",88,yes,yes,https://www.zomato.com/kochi/colony-clubhouse-grill-grand-hyatt-kochi-bolgatty-vypin/info,
Malabar Cafe - Grand Hyatt Kochi Bolgatty,"Kerala, North Indian, Desserts, Beverages",4,2400.0,high,4.7,excellent,No,No,1,1,casual,kochi,panampilly-nagar,"677,381",88,yes,yes,https://www.zomato.com/kochi/malabar-cafe-grand-hyatt-kochi-bolgatty-marine-drive/info,
Cafe De Bangkok,"Thai, Chinese, Japanese, Beverages",4,1000.0,high,4.4,excellent,No,Yes,1,1,casual,kochi,panampilly-nagar,"677,381",88,yes,yes,https://www.zomato.com/kochi/cafe-de-bangkok-ernakulam-city/info,
Kyra,"Beverages, Mughlai, Desserts, Kebab, Italian, Middle Eastern, Mediterranean",7,2600.0,high,4.2,excellent,No,No,1,1,casual,kochi,panampilly-nagar,"677,381",88,yes,yes,https://www.zomato.com/kochi/kyra-vennala/info,
Punjab Grill,"North Indian, Kebab, Biryani, Mughlai",4,1700.0,high,4.4,excellent,Yes,Yes,1,1,casual,kochi,panampilly-nagar,"677,381",88,yes,yes,https://www.zomato.com/kochi/punjab-grill-ernakulam-city/info,
Latest Recipe - Le Méridien Kochi,"Biryani, Continental, Chinese, Kerala, South Indian, North Indian, Beverages, Desserts",8,2500.0,high,4.4,excellent,No,Yes,1,1,casual,kochi,panampilly-nagar,"677,381",88,yes,yes,https://www.zomato.com/kochi/latest-recipe-le-méridien-kochi-marad/info,
Elevate Resto - Travancore Court,"North Indian, South Indian, Chinese",3,2300.0,high,4.6,excellent,No,Yes,1,1,casual,kochi,panampilly-nagar,"677,381",88,yes,yes,https://www.zomato.com/kochi/elevate-resto-travancore-court-pallimukku/info,
Yaacht Kitchen,"Kerala, South Indian, Continental, Oriental, Asian, Italian, Desserts, Beverages",8,1500.0,high,4.2,excellent,No,Yes,1,1,casual,kochi,panampilly-nagar,"677,381",88,yes,yes,https://www.zomato.com/kochi/yaacht-kitchen-ernakulam-city/info,
Rasanai - From The Streets Of The South,"South Indian, Desserts",2,800.0,high,4.1,excellent,No,Yes,1,1,casual,kochi,panampilly-nagar,"677,381",88,yes,yes,https://www.zomato.com/kochi/rasanai-from-the-streets-of-the-south-panampilly-nagar/info,
Colony Clubhouse & Grill - Grand Hyatt Kochi Bolgatty,"Continental, BBQ, Seafood",3,3200.0,high,4.6,excellent,No,No,1,1,casual,kochi,panampilly-nagar,"677,381",88,yes,yes,https://www.zomato.com/kochi/colony-clubhouse-grill-grand-hyatt-kochi-bolgatty-vypin/info,
Malabar Cafe - Grand Hyatt Kochi Bolgatty,"Kerala, North Indian, Desserts, Beverages",4,2400.0,high,4.7,excellent,Yes,No,1,1,casual,kochi,panampilly-nagar,"677,381",88,yes,yes,https://www.zomato.com/kochi/malabar-cafe-grand-hyatt-kochi-bolgatty-marine-drive/info,
Cafe De Bangkok,"Thai, Chinese, Japanese, Beverages",4,1000.0,high,4.4,excellent,Yes,Yes,1,1,casual,kochi,panampilly-nagar,"677,381",88,yes,yes,https://www.zomato.com/kochi/cafe-de-bangkok-ernakulam-city/info,
Kyra,"Beverages, Mughlai, Desserts, Kebab, Italian, Middle Eastern, Mediterranean",7,2600.0,high,4.2,excellent,No,Yes,1,1,casual,kochi,panampilly-nagar,"677,381",88,yes,yes,https://www.zomato.com/kochi/kyra-vennala/info,
Punjab Grill,"North Indian, Kebab, Biryani, Mughlai",4,1700.0,high,4.4,excellent,Yes,No,1,1,casual,kochi,panampilly-nagar,"677,381",88,yes,yes,https://www.zomato.com/kochi/punjab-grill-ernakulam-city/info,
Latest Recipe - Le Méridien Kochi,"Biryani, Continental, Chinese, Kerala, South Indian, North Indian, Beverages, Desserts",8,2500.0,high,4.4,excellent,Yes,Yes,1,1,casual,kochi,panampilly-nagar,"677,381",88,yes,yes,https://www.zomato.com/kochi/latest-recipe-le-méridien-kochi-marad/info,
Elevate Resto - Travancore Court,"North Indian, South Indian, Chinese",3,2300.0,high,4.6,excellent,Yes,No,1,1,casual,kochi,panampilly-nagar,"677,381",88,yes,yes,https://www.zomato.com/kochi/elevate-resto-travancore-court-pallimukku/info,
Yaacht Kitchen,"Kerala, South Indian, Continental, Oriental, Asian, Italian, Desserts, Beverages",8,1500.0,high,4.2,excellent,No,No,1,1,casual,kochi,panampilly-nagar,"677,381",88,yes,yes,https://www.zomato.com/kochi/yaacht-kitchen-ernakulam-city/info,
Rasanai - From The Streets Of The South,"South Indian, Desserts",2,800.0,high,4.1,excellent,Yes,No,1,1,casual,kochi,panampilly-nagar,"677,381",88,yes,yes,https://www.zomato.com/kochi/rasanai-from-the-streets-of-the-south-panampilly-nagar/info,
Colony Clubhouse & Grill - Grand Hyatt Kochi Bolgatty,"Continental, BBQ, Seafood",3,3200.0,high,4.6,excellent,Yes,No,1,1,casual,kochi,panampilly-nagar,"677,381",88,yes,yes,https://www.zomato.com/kochi/colony-clubhouse-grill-grand-hyatt-kochi-bolgatty-vypin/info,
